Column1;Date;Close;Volume;Open;High;Low
0;19/01/2024;20293;1660780;20274;20419;20222
1;18/01/2024;20216;1670130;20091;20256;20077
2;17/01/2024;20065;2451940;20317;20361;20046
3;16/01/2024;20302;2779950;20534;20628;20276
4;12/01/2024;20516;2509460;20332;20673;20331
5;11/01/2024;20192;2706240;20294;20561;20173
6;10/01/2024;20278;1836250;20360;20462;20259
7;09/01/2024;20330;1946100;20345;20486;20319
8;08/01/2024;20335;1993250;20526;20533;20227
9;05/01/2024;20498;2088610;20514;20711;20308
10;04/01/2024;20500;1255730;20493;20581;20433
11;03/01/2024;20428;2141320;20679;20743;20383
12;02/01/2024;20734;1499260;20727;20881;20643
13;29/12/2023;20718;1027410;20761;20841;20676
14;28/12/2023;20835;1264110;20895;20982;20746
15;27/12/2023;20931;1240210;20793;20958;20728
16;26/12/2023;20698;764920;20660;20805;20651
17;22/12/2023;20691;1622920;20612;20830;20582
18;21/12/2023;20513;1151840;20444;20580;20433
19;20/12/2023;20477;1193940;20538;20569;20406
20;19/12/2023;20521;1300310;20411;20610;20348
21;18/12/2023;20405;1374360;20333;20480;20295
22;15/12/2023;20357;1665650;20513;20596;20292
23;14/12/2023;20449;2227760;20432;20629;20391
24;13/12/2023;19973;1837800;19951;20433;19879
25;12/12/2023;19932;1402570;19978;20125;19923
26;11/12/2023;19937;1514090;20200;20237;19912
27;08/12/2023;20145;2278310;20457;20504;20106
28;07/12/2023;20464;1655660;20434;20572;20366
29;06/12/2023;20479;1501920;20378;20534;20353
30;05/12/2023;20363;2020030;20490;20596;20276
31;04/12/2023;20422;3686880;20944;20928;20384
32;01/12/2023;20897;2308770;20565;20957;20526
33;30/11/2023;20572;1436050;20654;20674;20512
34;29/11/2023;20671;1894940;20620;20727;20559
35;28/11/2023;20400;1729680;20143;20441;20115
36;27/11/2023;20124;2474110;20025;20189;20014
37;24/11/2023;20030;2112520;19912;20045;19909
38;22/11/2023;19928;1940930;20003;20083;19886
39;21/11/2023;20016;2238730;19800;20098;19799
40;20/11/2023;19803;1720460;19809;19878;19672
41;17/11/2023;19847;1295200;19842;19836;19825
42;16/11/2023;19873;1829350;19630;19845;19839
43;15/11/2023;19643;1389560;19669;19792;19588
44;14/11/2023;19665;1748440;19503;19753;19388
45;13/11/2023;19502;1649850;19434;19535;19356
46;10/11/2023;19377;2101580;19641;19656;19369
47;09/11/2023;19698;1855740;19555;19715;19483
48;08/11/2023;19578;1703670;19753;19775;19532
49;07/11/2023;19735;2004820;19848;19852;19628
50;06/11/2023;19886;1425150;19994;19915;19842
51;03/11/2023;19992;2111540;19935;20119;19893
52;02/11/2023;19935;1504760;19920;19992;19863
53;01/11/2023;19875;1900940;19933;20059;19782
54;31/10/2023;19943;2059510;20056;20177;19874
55;30/10/2023;20056;1778340;20135;20124;19997
56;27/10/2023;19985;2069320;19950;20197;19864
57;26/10/2023;19974;2085970;19912;20037;19816
58;25/10/2023;19949;2356990;19827;19986;19736
59;24/10/2023;19861;1915860;19841;19890;19700
60;23/10/2023;19878;2049590;19877;19909;19826
61;20/10/2023;19944;2791620;19880;20092;19837
62;19/10/2023;19805;2536900;19601;19902;19570
63;18/10/2023;19683;2610640;19367;19758;19359
64;17/10/2023;19357;1594300;19333;19445;19246
65;16/10/2023;19343;1747420;19413;19430;19212
66;13/10/2023;19415;2985610;18817;19462;18815
67;12/10/2023;18830;1580890;18881;18983;18806
68;11/10/2023;18873;1629140;18737;18909;18717
69;10/10/2023;18753;1528650;18754;18791;18661
70;09/10/2023;18643;1834510;18610;18773;18575
71;06/10/2023;18452;2245440;18343;18490;18235
72;05/10/2023;18318;1636800;18376;18435;18262
73;04/10/2023;18348;1872670;18387;18468;18316
74;03/10/2023;18415;2081100;18449;18493;18309
75;02/10/2023;18472;1915990;18644;18647;18427
76;29/09/2023;18661;2347560;18823;18967;18623
77;28/09/2023;18786;2173530;18933;18968;18745
78;27/09/2023;18909;2211390;19188;19217;18903
79;26/09/2023;19198;2021050;19351;19355;19172
80;25/09/2023;19366;1555170;19447;19468;19338
81;22/09/2023;19456;1351930;19396;19491;19396
82;21/09/2023;19396;2182110;19520;19522;19331
83;20/09/2023;19671;2127310;19530;19689;19486
84;19/09/2023;19537;1268710;19553;19589;19509
85;18/09/2023;19534;1345290;19457;19557;19438
86;15/09/2023;19462;1953420;19325;19524;19312
87;14/09/2023;19328;1962200;19307;19345;19217
88;13/09/2023;19325;1562090;19352;19384;19272
89;12/09/2023;19351;1550340;19456;19475;19299
90;11/09/2023;19472;1287500;19433;19476;19446
91;08/09/2023;19427;1362350;19438;19540;19408
92;07/09/2023;19425;1140970;19422;19479;19403
93;06/09/2023;19442;1452710;19515;19545;19400
94;05/09/2023;19526;1879350;19667;19726;19506
