Column1;Date;Close/Last;Volume;Open;High;Low
0;03/07/2024;23694;1859300;23386;23745;23357
1;02/07/2024;23334;1465680;23416;23461;23274
2;01/07/2024;23389;1368610;23362;23488;23282
3;28/06/2024;23396;1311910;23386;23506;23297
4;27/06/2024;23366;1357840;23094;23420;23068
5;26/06/2024;23132;1829290;23318;23358;23047
6;25/06/2024;23308;1401790;23468;23497;23271
7;24/06/2024;23444;1134480;23335;23475;23295
8;21/06/2024;23312;1875010;23738;23826;23292
9;20/06/2024;23690;2451460;23442;23795;23385
10;18/06/2024;23469;1502090;23337;23482;23202
11;17/06/2024;23290;1187610;23485;23487;23243
12;14/06/2024;23491;1554860;23196;23523;23167
13;13/06/2024;23180;1771840;23409;23424;23109
14;12/06/2024;23548;2324970;23340;23588;23272
15;11/06/2024;23266;1422030;23295;23373;23145
16;10/06/2024;23270;1373320;23110;23313;23045
17;07/06/2024;23250;2992740;23957;24067;23042
18;06/06/2024;23909;1633170;23753;23978;23722
19;05/06/2024;23755;1676610;23471;23776;23453
20;04/06/2024;23474;1658590;23713;23731;23351
21;03/06/2024;23693;1667890;23480;23755;23348
22;31/05/2024;23458;1758330;23645;23812;23411
23;30/05/2024;23665;1796420;23610;23737;23433
24;29/05/2024;23412;1147280;23625;23637;23342
25;28/05/2024;23565;3089140;23380;23655;23338
26;24/05/2024;23345;1719190;23304;23490;23263
27;23/05/2024;23372;2630980;23830;23857;23281
28;22/05/2024;23929;2462290;24254;24305;23780
29;21/05/2024;24259;2259800;24315;24382;24085
30;20/05/2024;24385;2762670;24222;24542;24111
31;17/05/2024;24174;2093950;23814;24274;23778
32;16/05/2024;23855;1831380;23915;24027;23752
33;15/05/2024;23949;2450810;23629;23961;23571
34;14/05/2024;23599;1841590;23423;23652;23405
35;13/05/2024;23430;2218460;23691;23708;23376
36;10/05/2024;23750;2459970;23535;23853;23520
37;09/05/2024;23403;2265290;23165;23542;23129
38;08/05/2024;23223;1961590;23220;23296;23114
39;07/05/2024;23242;1868680;23348;23387;23182
40;06/05/2024;23312;1889840;23128;23419;23006
41;03/05/2024;23086;2261870;23135;23307;22852
42;02/05/2024;23096;1818180;23299;23361;22943
43;01/05/2024;23110;2152710;22982;23395;22917
44;30/04/2024;23029;2218660;23470;23476;22962
45;29/04/2024;23577;1799840;23476;23589;23310
46;26/04/2024;23472;1631240;23442;23644;23380
47;25/04/2024;23425;2181900;23274;23576;23164
48;24/04/2024;23384;1782500;23357;23509;23248
49;23/04/2024;23421;2619990;23423;23479;23046
50;22/04/2024;23464;2561230;24037;24043;23382
51;19/04/2024;24138;2643740;23940;24333;23868
52;18/04/2024;23980;1954930;23779;24080;23772
53;17/04/2024;23884;2795510;23980;24120;23707
