Date,Close/Last,Volume
2014-07-07,13170,791100
2014-07-08,13165,1267060
2014-07-09,13243,1551010
2014-07-10,13392,1673910
2014-07-11,13374,884700
2014-07-14,13067,1999730
2014-07-15,12971,1696120
2014-07-16,12998,1094180
2014-07-17,13169,1703600
2014-07-18,13094,1166870
2014-07-21,13155,172600
2014-07-22,13080,142960
2014-07-23,13065,185290
2014-07-24,12927,318530
2014-07-25,13053,402130
2014-07-28,13058,568260
2014-07-29,13005,1345850
2014-07-30,12969,1231380
2014-07-31,12828,1266840
2014-08-01,12948,1304800
2014-08-04,12889,626640
2014-08-05,12853,956480
2014-08-06,13082,1473080
2014-08-07,13125,1170730
2014-08-08,13110,1434320
2014-08-11,13105,606010
2014-08-12,13106,957410
2014-08-13,13145,952800
2014-08-14,13157,999030
2014-08-15,13062,1825790
2014-08-18,12993,726400
2014-08-19,12967,741270
2014-08-20,12952,799330
2014-08-21,12754,1319520
2014-08-22,12802,866550
2014-08-25,12789,507630
2014-08-26,12852,989320
2014-08-27,12834,637630
2014-08-28,12904,1059110
2014-08-29,12874,710250
2014-09-02,12650,1756800
2014-09-03,12703,993690
2014-09-04,12665,1415720
2014-09-05,12673,999170
2014-09-08,12543,1079570
2014-09-09,12485,1212170
2014-09-10,12453,1322350
2014-09-11,12390,1492140
2014-09-12,12315,1329480
2014-09-15,12351,909660
2014-09-16,12367,1189710
2014-09-17,12359,1257960
2014-09-18,12269,1399590
2014-09-19,12166,1694560
2014-09-22,12179,1292760
2014-09-23,12220,1477710
2014-09-24,12195,1267880
2014-09-25,12219,1740790
2014-09-26,12154,1409100
2014-09-29,12188,1001750
2014-09-30,12116,1742320
2014-10-01,12155,1397350
2014-10-02,12151,1428070
2014-10-03,11929,1796060
2014-10-06,12073,1396650
2014-10-07,12124,1353640
2014-10-08,12060,1816610
2014-10-09,12253,1571700
2014-10-10,12217,1124220
2014-10-13,12300,1170070
2014-10-14,12343,1072390
2014-10-15,12448,2509990
2014-10-16,12412,1751620
2014-10-17,12390,1110150
2014-10-20,12447,898140
2014-10-21,12517,1430070
2014-10-22,12455,1048390
2014-10-23,12291,1330220
2014-10-24,12318,876090
2014-10-27,12293,760130
2014-10-28,12294,1176530
2014-10-29,12249,1257900
2014-10-30,11986,1995650
2014-10-31,11716,2846280
2014-11-03,11698,1233280
2014-11-04,11677,1286180
2014-11-05,11457,2483550
2014-11-06,11426,1569910
2014-11-07,11698,2870740
2014-11-10,11598,1918230
2014-11-11,11630,1771530
2014-11-12,11591,1768180
2014-11-13,11615,1822620
2014-11-14,11856,2836910
2014-11-17,11835,1907060
2014-11-18,11971,1622940
2014-11-19,11939,2597260
2014-11-20,11909,1798550
2014-11-21,11977,1927120
2014-11-24,11966,691180
2014-11-25,11978,1196190
2014-11-28,11755,2407230
2014-12-01,12181,3277640
2014-12-02,11994,1560620
2014-12-03,12087,1332210
2014-12-04,12077,1117300
2014-12-05,11904,1449260
2014-12-08,11949,990590
2014-12-09,12320,2280240
2014-12-10,12294,1355690
2014-12-11,12256,1368600
2014-12-12,12225,1164670
2014-12-15,12077,1458430
2014-12-16,11943,2215710
2014-12-17,11945,1549620
2014-12-18,11948,1291270
2014-12-19,11960,687470
2014-12-22,11798,1229220
2014-12-23,11780,928930
2014-12-24,11735,401920
2014-12-26,11953,655710
2014-12-29,11819,785210
2014-12-30,12004,1319610
2014-12-31,11841,672310
2015-01-02,11862,1122800
2015-01-05,12040,1429420
2015-01-06,12194,1806530
2015-01-07,12107,1111500
2015-01-08,12085,1130910
2015-01-09,12161,1488090
2015-01-12,12328,1323130
2015-01-13,12344,1683740
2015-01-14,12345,1842080
2015-01-15,12648,2727500
2015-01-16,12769,2041980
2015-01-20,12942,2311850
2015-01-21,12937,1950980
2015-01-22,13007,1988870
2015-01-23,12926,1406040
2015-01-26,12794,1578590
2015-01-27,12929,842730
2015-01-28,12872,1406420
2015-01-29,12559,2335770
2015-01-30,12792,1562920
2015-02-02,12769,1114080
2015-02-03,12603,1669350
2015-02-04,12645,1271400
2015-02-05,12627,1050450
2015-02-06,12346,1891540
2015-02-09,12415,861010
2015-02-10,12322,921100
2015-02-11,12196,1090120
2015-02-12,12207,1033500
2015-02-13,12271,902560
2015-02-17,12086,1727210
2015-02-18,12002,1141780
2015-02-19,12076,1051130
2015-02-20,12049,1030620
2015-02-23,12008,1085170
2015-02-24,11973,1094400
2015-02-25,12015,975880
2015-02-26,12101,1221000
2015-02-27,12131,1073820
2015-03-02,12082,1282220
2015-03-03,12044,1468740
2015-03-04,12009,995390
2015-03-05,11962,1255640
2015-03-06,11643,2040430
2015-03-09,11665,1120180
2015-03-10,11601,1702230
